level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	2	7	2	13	1942	2696	121	37	85	home!
4	1	2	7	3	0	451	2750	1613	51	-1	
5	1	2	7	3	1	451	2750	108	46	89	Why,
5	1	2	7	3	2	578	2750	15	36	91	I
5	1	2	7	3	3	609	2750	185	38	90	wouldn’t
5	1	2	7	3	4	811	2764	67	33	90	say
5	1	2	7	3	5	894	2752	185	47	90	anything
5	1	2	7	3	6	1094	2752	120	38	91	about
5	1	2	7	3	7	1230	2754	42	44	90	it,
5	1	2	7	3	8	1291	2766	93	24	92	even
5	1	2	7	3	9	1400	2753	30	37	89	if
5	1	2	7	3	10	1443	2754	15	36	88	I
5	1	2	7	3	11	1474	2754	63	37	90	fell
5	1	2	7	3	12	1553	2754	55	37	86	off
5	1	2	7	3	13	1619	2755	68	37	92	the
5	1	2	7	3	14	1702	2759	70	42	92	top
5	1	2	7	3	15	1788	2755	41	37	89	of
5	1	2	7	3	16	1841	2756	66	37	92	the
5	1	2	7	3	17	1923	2756	141	37	92	house!’
